;nome;cpf;email;endereco;bairro;estado;estado_nome;sigla;telefone;pais;code;cartao_cred;cartao_num;credt_exp;cvv;data;data_hora
0;Sr. Samuel Albuquerque;178.594.230-14;emanuella33@example.org;"Trecho Cassiano
Delta
46896-124 Machado / SP";Cônego Pinheiro 1ª Seção;('MT', 'Mato Grosso');Rio de Janeiro;ES;+55 (69) 9 7221 2605;Ilhas dos Cocos;OM;"VISA 13 digit
Lavínia Andrade
4181453367439 08/28
CVC: 711
";3540401246929484;10/31;842;2016-12-26;2018-06-14 21:38:03.544204
1;Carolina Dias;217.594.860-94;ramoscecilia@example.com;"Núcleo Alice Lopes, 17
Vila São Rafael
22203-133 Nascimento de Abreu / MT";Vila Primeiro De Maio;('RN', 'Rio Grande do Norte');Mato Grosso;SE;+55 08 9 4237-3813;Hong Kong;BG;"American Express
Lucas Gabriel da Cruz
379996586767016 09/26
CID: 6797
";4389913974466663;08/31;606;1983-09-19;2006-03-20 16:12:21.116132
2;José Pedro da Rosa;578.463.291-46;guerralucas-gabriel@example.net;"Via Davi Luiz Azevedo, 71
Vista Do Sol
71694-534 Nogueira Grande / AL";Vila Betânia;('PA', 'Pará');Piauí;BA;+55 (74) 9 2195-1722;Domínica;SY;"VISA 19 digit
Luiz Otávio Rocha
4561404112121514717 07/27
CVC: 035
";6566026364175057;05/33;510;1972-05-10;2009-11-29 00:31:04.146389
3;Mariah Azevedo;954.810.672-85;novaisvalentina@example.org;"Alameda Maria Julia Lima, 93
Aeroporto
60699909 Marques Paulista / GO";Dom Joaquim;('RR', 'Roraima');Sergipe;RS;+55 (82) 95697 4208;China;PK;"VISA 13 digit
Luiz Henrique Fernandes
4368568039264 01/33
CVC: 373
";180003482568173;04/30;508;2018-06-01;2007-03-09 18:31:19.249321
4;Joaquim Fonseca;861.754.239-09;caue95@example.com;"Chácara Marcela Brito
Novo Aarão Reis
22016398 Silva de Moura / PR";Xodo-Marize;('SE', 'Sergipe');Tocantins;RJ;+55 (058) 91083-2870;Coreia do Sul;OM;"JCB 16 digit
Agatha Marques
3509723182777711 03/29
CVC: 275
";4651926418498535427;07/28;797;1979-09-23;1981-12-04 22:50:44.605372
5;Pedro Lucas Garcia;257.410.963-52;kamilly21@example.org;"Favela Kaique Leão, 24
Alta Tensão 1ª Seção
58382-705 Garcia / AL";Vila Mangueiras;('RJ', 'Rio de Janeiro');Maranhão;PA;+55 85 95220-6842;Coral Sea Islands;PE;"American Express
Asafe Ribeiro
347751653791178 03/28
CID: 2481
";6011176628890099;12/25;177;1975-03-29;1977-02-20 18:18:53.541262
6;Bernardo Silveira;596.183.702-59;taraujo@example.com;"Rua Fernandes
Pantanal
20202-473 Pinto do Amparo / AM";São João Batista;('RS', 'Rio Grande do Sul');Alagoas;SP;+55 (99) 93697-4813;Comores;AT;"Mastercard
Lavínia Araújo
2263254611947707 02/32
CVV: 980
";4063266784695937;01/25;8565;1979-09-10;2019-06-16 17:17:47.795048
7;João Vitor Casa Grande;254.169.307-99;rodriguesyuri@example.org;"Esplanada Alves, 83
Dom Joaquim
89880-954 Borges / DF";Belmonte;('GO', 'Goiás');Pará;CE;+55 (055) 98532-7821;Etiópia;JO;"Mastercard
Mariah da Luz
2225606087050117 12/29
CVV: 415
";4184523014577382;12/27;407;2012-11-16;1973-10-21 06:48:37.583855
8;Luara Cardoso;273.106.984-87;da-rosadiogo@example.net;"Viela Brito, 36
Urca
98273-203 Mendes / PR";Santa Rita De Cássia;('RO', 'Rondônia');Paraíba;MA;+55 (97) 9 2402-6006;Peru;BH;"VISA 19 digit
Rafael da Paz
4957650898717942475 01/25
CVC: 083
";213121352597634;04/30;397;1982-05-07;2001-04-22 03:57:05.654462
9;João Lucas das Neves;237.194.086-04;lucca77@example.net;"Rua Carlos Eduardo Sampaio, 9
Palmeiras
54768-308 Ferreira / RR";Vila Fumec;('RS', 'Rio Grande do Sul');Rondônia;AL;+55 81 9 6596 3501;Nepal;MM;"American Express
Liz Mendes
372525788897912 08/28
CID: 6875
";213144531223237;07/29;387;1971-08-30;1992-11-27 15:58:31.992046
10;Srta. Sarah da Mata;439.258.761-46;lucas-gabrielsampaio@example.net;"Morro de da Cruz, 6
Vila Nova Cachoeirinha 2ª Seção
23733155 Silveira da Mata / MS";Candelaria;('PB', 'Paraíba');Minas Gerais;PB;+55 (42) 9 1058 6100;Quiribáti;HU;"VISA 16 digit
Maria Helena Farias
4778071804119496 04/32
CVC: 454
";4329937984566841526;03/31;558;2005-12-23;1982-09-05 19:41:15.197000
11;Lara da Conceição;245.138.096-98;xpacheco@example.org;"Fazenda Souza, 376
Miramar
74802-430 Porto / ES";Renascença;('AL', 'Alagoas');Rondônia;AP;+55 (053) 92291 3746;Nigéria;JO;"Discover
Maria Clara Rios
6518014045772095 03/27
CVC: 303
";370820566076157;07/28;543;2009-03-25;1983-04-13 02:25:23.573752
12;Maria Alice Camargo;064.317.582-26;benicio24@example.org;"Largo das Neves
Graça
31658565 Gomes de Brito / MG";Esperança;('MT', 'Mato Grosso');Bahia;PI;+55 74 95432 6759;Vaticano;JP;"American Express
Juan Costela
342124529720018 10/30
CID: 9907
";4031159431534353153;08/28;8432;1989-02-20;1998-06-08 06:41:52.968989
13;Davi Fogaça;508.647.192-30;smontenegro@example.net;"Praça Cunha, 9
Conjunto Floramar
88882-260 Mendonça do Galho / MT";Vila Jardim Montanhes;('MS', 'Mato Grosso do Sul');Rondônia;RN;+55 28 9 1682-0776;Chile;CN;"VISA 19 digit
Ravi Lucca Porto
4804087144420719513 03/28
CVC: 538
";4051339053989890801;01/33;3024;1973-10-26;2019-02-04 04:23:15.406582
14;Calebe Freitas;693.071.852-12;amendonca@example.net;"Trecho Araújo, 72
Alta Tensão 2ª Seção
36475409 Garcia de Goiás / PE";Vila Madre Gertrudes 4ª Seção;('CE', 'Ceará');Mato Grosso;RS;+55 87 96102 3100;Singapura;TM;"JCB 15 digit
Pietra Montenegro
180046944597090 08/31
CVC: 456
";4044447431942005;05/31;312;1970-04-15;1974-06-30 12:00:41.738129
15;Emanuella Mendonça;452.730.196-99;thiago54@example.net;"Praia de Fogaça
Santo Agostinho
68032-804 Montenegro de Goiás / DF";São Salvador;('TO', 'Tocantins');Piauí;PI;+55 70 94950 1471;Malásia;CA;"American Express
Enzo Gabriel Novaes
342018504493791 03/34
CID: 3045
";676127517685;08/30;438;1989-01-26;1989-08-08 12:26:14.822712
