;nome;cpf;email;endereco;bairro;estado;estado_nome;sigla;telefone;pais;code;cartao_cred;cartao_num;credt_exp;cvv;data;data_hora;digtap_ptcao
0;Mariana Leão;587.410.923-41;melissa71@example.com;"Distrito de Sá, 5
Nossa Senhora De Fátima
35467257 Nunes / MT";São Marcos;('DF', 'Distrito Federal');Rio Grande do Sul;CE;+55 (02) 91393 1135;China;SD;"JCB 15 digit
Joana Mendonça
213109429898044 05/33
CVC: 983
";30487854024919;07/33;073;2007-03-16;1991-02-26 19:40:52.031960;2025-01-03
1;Dr. Isaac Moura;943.602.817-22;freitasryan@example.com;"Parque de Siqueira, 755
Cachoeirinha
31256-841 Rocha Paulista / RS";Gameleira;('PE', 'Pernambuco');Tocantins;DF;+55 87 9 9308 9865;Polônia;HN;"American Express
Gabriel Machado
379089521533543 06/32
CID: 9629
";4558279571518255;04/29;1347;2008-09-20;1995-06-10 10:03:56.425874;2025-01-03
2;Lavínia Jesus;596.073.142-80;pastorigor@example.net;"Estrada Renan Garcia
Boa Viagem
53566828 Jesus da Mata / SP";Vila Ouro Minas;('PI', 'Piauí');Mato Grosso do Sul;PB;+55 (78) 97445-7106;Cazaquistão;TO;"VISA 16 digit
Sara Guerra
4090697503107951 08/32
CVC: 499
";3564975128196602;04/30;274;1970-04-20;1988-08-01 14:54:53.337979;2025-01-03
3;Lucas Leão;258.309.147-60;stephanyborges@example.com;"Condomínio Antony Viana, 64
Vila Madre Gertrudes 4ª Seção
36860-129 Araújo do Amparo / RR";Vila Novo São Lucas;('DF', 'Distrito Federal');Roraima;DF;+55 (054) 91844 6693;Nigéria;KH;"VISA 16 digit
Nicolas Monteiro
4136915490963764 06/25
CVC: 796
";4674505549474851;11/31;802;2013-11-26;2001-12-02 15:07:52.287542;2025-01-03
4;Aurora Souza;054.769.318-48;anamoura@example.org;"Ladeira Mirella Leão, 3
Vila Tirol
27290081 Guerra / PA";Vila Independencia 3ª Seção;('PB', 'Paraíba');Tocantins;RO;+55 (06) 9 2044-4123;Israel;LI;"VISA 16 digit
Theodoro Castro
4111957369065536 08/33
CVC: 639
";4296150691928882095;03/25;191;2021-09-10;1991-08-06 07:16:53.674018;2025-01-03
5;Sra. Rafaela Ferreira;067.351.289-40;cecilia51@example.com;"Quadra de Caldeira
Maria Virgínia
36294-440 Vieira de Goiás / MT";Vista Do Sol;('PB', 'Paraíba');Rio Grande do Sul;PR;+55 50 9 8728-6015;Jamaica;KP;"Discover
João Pedro Farias
6543343019967558 04/28
CVC: 372
";30376156671123;02/33;781;1995-07-19;1989-01-06 01:20:07.359080;2025-01-03
6;Enzo Gabriel Fogaça;041.382.967-78;sousayuri@example.com;"Esplanada de Moraes, 73
Alta Tensão 1ª Seção
35218680 Porto de Minas / MT";São Cristóvão;('TO', 'Tocantins');Pernambuco;SC;+55 (95) 90762-5731;Jamaica;PW;"Maestro
Marina Leão
676356498789 05/31
CVV: 445
";2561602067716829;10/32;163;2011-06-22;2023-08-01 04:02:56.734674;2025-01-03
7;João Moraes;267.013.948-50;ysiqueira@example.net;"Campo Araújo, 54
Maria Helena
78543-809 Aragão / RJ";Vila São João Batista;('RR', 'Roraima');Amazonas;MT;+55 (20) 9 7448-2357;Laos;EG;"VISA 16 digit
João Vitor Lima
4967485412727733 05/26
CVC: 900
";4681194270755487954;07/29;012;2011-06-26;1999-05-20 01:31:07.896758;2025-01-03
8;Marcela Albuquerque;358.790.261-59;rochanicole@example.net;"Travessa Sales, 11
Santa Monica
18067-600 Viana Alegre / AM";Caetano Furquim;('AC', 'Acre');Sergipe;ES;+55 (52) 9 7237-6739;Bulgária;CR;"Mastercard
Bernardo Mendes
2720933520968881 12/26
CVV: 803
";565474936079;05/29;9913;1972-08-01;2020-10-03 17:11:29.228310;2025-01-03
9;Henry Almeida;428.176.930-78;pietraabreu@example.net;"Campo da Mata, 80
São Vicente
21478856 Lima Grande / CE";Lagoinha Leblon;('PE', 'Pernambuco');Ceará;PR;+55 (026) 96449-8270;Dinamarca;CA;"Diners Club / Carte Blanche
Arthur Miguel Freitas
30083071814933 10/34
CVC: 930
";4745525195846110674;07/34;831;1984-08-07;2015-05-04 12:02:58.836133;2025-01-03
